threshold sweep  sso (http://systemone:8097/v1/systemone)
model            openjev
cases            86

  thresh    acc    soft | none: n picked  right  recall    prec | late acc near acc | p50 ms
   0.050   83.7%  100.0% |      16     10     10    62.5%   100.0% |    96.9%    88.0% |   4998
   0.100   88.4%   98.8% |      16     15     14    87.5%    93.3% |    96.9%    88.0% |   4996
   0.200   88.4%   98.8% |      16     17     15    93.8%    88.2% |    96.9%    86.0% |   4998
   0.250   89.5%   98.8% |      16     18     16   100.0%    88.9% |    96.9%    86.0% |   4996
   0.300   89.5%   98.8% |      16     18     16   100.0%    88.9% |    96.9%    86.0% |   4995
   0.400   89.5%   98.8% |      16     19     16   100.0%    84.2% |    96.9%    86.0% |   4991
   0.500   88.4%   98.8% |      16     20     16   100.0%    80.0% |    96.9%    86.0% |   4995
   0.600   88.4%   98.8% |      16     20     16   100.0%    80.0% |    96.9%    86.0% |   4981
   0.700   87.2%   97.7% |      16     21     16   100.0%    76.2% |    96.9%    84.0% |   4994

best top-1 accuracy at threshold 0.250: 89.5% (soft 98.8%, none recall 100.0%)
this is a measurement, not a recommendation — the operator sets the deployed value.

